,FSA,bedrooms,post_published_date,average_price
314,M4W,1.0,2020-10-24,2600.0
315,M4W,2.0,2020-10-24,2725.0
316,M4W,1.0,2020-10-25,1862.5
317,M4W,1.0,2020-10-26,1749.0
318,M4W,1.0,2020-10-27,1749.0
319,M4W,1.0,2020-10-28,1749.0
320,M4W,2.0,2020-10-28,3500.0
321,M4X,2.0,2020-09-25,855.0
322,M4X,1.0,2020-10-16,1800.0
323,M4X,1.0,2020-10-19,1250.0
324,M4Y,2.0,2020-09-20,3600.0
325,M4Y,1.0,2020-09-24,1895.0
326,M4Y,1.0,2020-09-25,1850.0
327,M4Y,1.0,2020-09-26,1850.0
328,M4Y,1.0,2020-09-29,2650.0
329,M4Y,2.0,2020-09-30,2280.0
330,M4Y,1.0,2020-10-01,1900.0
331,M4Y,2.0,2020-10-01,2500.0
332,M4Y,1.0,2020-10-05,3078.3333333333335
333,M4Y,2.0,2020-10-05,5195.0
334,M4Y,2.0,2020-10-07,3100.0
335,M4Y,1.0,2020-10-09,2145.0
336,M4Y,2.0,2020-10-09,3145.0
337,M4Y,1.0,2020-10-13,2100.0
338,M4Y,2.0,2020-10-13,2795.0
339,M4Y,1.0,2020-10-14,1845.0
340,M4Y,2.0,2020-10-14,2000.0
341,M4Y,1.0,2020-10-15,1920.8333333333333
342,M4Y,2.0,2020-10-15,2700.0
343,M4Y,1.0,2020-10-16,2069.285714285714
344,M4Y,1.0,2020-10-17,1700.0
345,M4Y,1.0,2020-10-18,1840.0
346,M4Y,2.0,2020-10-18,2450.0
347,M4Y,1.0,2020-10-19,2005.625
348,M4Y,2.0,2020-10-19,2750.0
349,M4Y,1.0,2020-10-20,1841.6666666666667
350,M4Y,1.0,2020-10-21,1632.5
351,M4Y,2.0,2020-10-21,2810.0
352,M4Y,1.0,2020-10-22,1875.0
353,M4Y,2.0,2020-10-22,2475.0
354,M4Y,1.0,2020-10-23,1631.6666666666667
355,M4Y,2.0,2020-10-23,2975.0
356,M4Y,1.0,2020-10-24,1999.6666666666667
357,M4Y,2.0,2020-10-24,3000.0
358,M4Y,1.0,2020-10-25,1775.0
359,M4Y,2.0,2020-10-25,2099.5
360,M4Y,1.0,2020-10-26,1866.6666666666667
361,M4Y,2.0,2020-10-26,2695.0
362,M4Y,1.0,2020-10-27,1685.0
363,M4Y,2.0,2020-10-27,2983.3333333333335
364,M4Y,1.0,2020-10-28,1897.0
365,M4Y,2.0,2020-10-28,2800.0
366,M5A,1.0,2020-09-21,1806.6666666666667
367,M5A,1.0,2020-09-22,2200.0
368,M5A,1.0,2020-09-23,4500.0
369,M5A,1.0,2020-09-24,1693.3333333333333
370,M5A,1.0,2020-09-27,1400.0
371,M5A,2.0,2020-09-29,3333.3333333333335
372,M5A,1.0,2020-09-30,2425.0
373,M5A,1.0,2020-10-01,2300.0
374,M5A,1.0,2020-10-02,1495.0
375,M5A,1.0,2020-10-05,2948.3333333333335
376,M5A,2.0,2020-10-06,3350.0
377,M5A,1.0,2020-10-07,1925.0
378,M5A,2.0,2020-10-10,2600.0
379,M5A,2.0,2020-10-11,4250.0
380,M5A,1.0,2020-10-12,2100.0
381,M5A,1.0,2020-10-13,2090.0
382,M5A,2.0,2020-10-13,2495.0
383,M5A,1.0,2020-10-14,1662.0
384,M5A,2.0,2020-10-14,2446.6666666666665
385,M5A,1.0,2020-10-15,1787.5
386,M5A,2.0,2020-10-15,2175.0
387,M5A,2.0,2020-10-16,2500.0
388,M5A,1.0,2020-10-17,1850.0
389,M5A,2.0,2020-10-17,2050.0
390,M5A,1.0,2020-10-18,1666.6666666666667
391,M5A,2.0,2020-10-18,2775.0
392,M5A,1.0,2020-10-19,2210.0
393,M5A,2.0,2020-10-19,4000.0
394,M5A,1.0,2020-10-20,2111.25
395,M5A,1.0,2020-10-21,2072.75
396,M5A,2.0,2020-10-21,2380.0
397,M5A,1.0,2020-10-22,1781.923076923077
398,M5A,2.0,2020-10-22,2860.8333333333335
399,M5A,1.0,2020-10-23,1811.75
400,M5A,2.0,2020-10-23,2299.6
401,M5A,2.0,2020-10-24,2197.5
402,M5A,1.0,2020-10-25,1912.5
403,M5A,2.0,2020-10-25,2724.5
404,M5A,1.0,2020-10-26,1874.1666666666667
405,M5A,2.0,2020-10-26,2250.0
406,M5A,1.0,2020-10-27,2111.25
407,M5A,1.0,2020-10-28,1693.75
408,M5A,2.0,2020-10-28,2410.0
409,M5B,1.0,2020-09-28,2197.5
410,M5B,1.0,2020-09-29,1850.0
411,M5B,1.0,2020-10-01,1900.0
412,M5B,1.0,2020-10-05,2695.0
413,M5B,1.0,2020-10-08,1600.0
414,M5B,1.0,2020-10-13,1680.0
415,M5B,1.0,2020-10-14,1800.0
416,M5B,2.0,2020-10-14,2325.0
417,M5B,1.0,2020-10-16,1800.0
418,M5B,1.0,2020-10-17,2220.0
419,M5B,2.0,2020-10-17,2550.0
420,M5B,1.0,2020-10-18,1266.6666666666667
421,M5B,1.0,2020-10-19,1400.0
422,M5B,1.0,2020-10-20,1000.0
423,M5B,2.0,2020-10-20,2550.0
424,M5B,1.0,2020-10-21,1555.75
425,M5B,2.0,2020-10-21,2450.0
426,M5B,1.0,2020-10-22,1524.4444444444443
427,M5B,2.0,2020-10-22,2250.0
428,M5B,1.0,2020-10-24,1700.0
429,M5B,2.0,2020-10-24,2500.0
430,M5B,1.0,2020-10-25,1887.0
431,M5B,1.0,2020-10-27,1583.3333333333333
432,M5B,2.0,2020-10-27,2550.0
433,M5B,1.0,2020-10-28,1360.0
434,M5B,2.0,2020-10-28,2000.3333333333333
435,M5C,1.0,2020-10-07,1950.0
436,M5C,1.0,2020-10-14,1500.0
437,M5C,1.0,2020-10-15,2590.0
438,M5C,1.0,2020-10-19,1922.5
439,M5C,1.0,2020-10-20,1850.0
440,M5C,2.0,2020-10-20,2800.0
441,M5C,2.0,2020-10-22,2250.0
442,M5C,1.0,2020-10-24,1787.0
443,M5E,1.0,2020-09-23,917.0
444,M5E,2.0,2020-09-26,2100.0
445,M5E,1.0,2020-09-27,965.0
446,M5E,1.0,2020-09-28,2695.0
447,M5E,1.0,2020-09-29,2100.0
448,M5E,2.0,2020-09-29,3247.5
449,M5E,1.0,2020-10-02,2100.0
450,M5E,1.0,2020-10-05,2095.0
451,M5E,1.0,2020-10-08,3495.0
452,M5E,2.0,2020-10-08,2645.0
453,M5E,1.0,2020-10-13,2363.3333333333335
454,M5E,1.0,2020-10-14,1950.0
455,M5E,2.0,2020-10-14,2300.0
456,M5E,1.0,2020-10-15,2025.0
457,M5E,1.0,2020-10-17,2850.0
458,M5E,1.0,2020-10-20,2995.0
459,M5E,2.0,2020-10-20,3250.0
460,M5E,1.0,2020-10-21,2015.0
461,M5E,1.0,2020-10-22,2090.0
462,M5E,2.0,2020-10-22,2450.0
463,M5E,1.0,2020-10-23,1700.0
464,M5E,2.0,2020-10-23,6000.0
465,M5E,2.0,2020-10-24,2750.0
466,M5E,1.0,2020-10-25,1940.0
467,M5E,1.0,2020-10-26,2949.0
468,M5E,2.0,2020-10-26,2995.0
469,M5E,1.0,2020-10-27,1695.0
470,M5E,1.0,2020-10-28,1695.0
471,M5G,1.0,2020-09-20,2010.0
472,M5G,2.0,2020-09-20,3266.6666666666665
473,M5G,2.0,2020-09-21,4095.0
474,M5G,1.0,2020-09-27,1085.0
475,M5G,2.0,2020-09-29,3500.0
476,M5G,2.0,2020-09-30,2450.0
477,M5G,1.0,2020-10-01,1900.0
478,M5G,1.0,2020-10-05,3000.0
479,M5G,2.0,2020-10-05,3895.0
480,M5G,1.0,2020-10-12,1900.0
481,M5G,2.0,2020-10-13,5895.0
482,M5G,2.0,2020-10-14,2809.5
483,M5G,1.0,2020-10-15,1800.0
484,M5G,2.0,2020-10-15,3750.0
485,M5G,1.0,2020-10-16,2598.0
486,M5G,1.0,2020-10-19,4500.0
487,M5G,2.0,2020-10-19,5444.0
488,M5G,1.0,2020-10-20,1615.0
489,M5G,2.0,2020-10-20,2472.0
490,M5G,1.0,2020-10-21,925.0
491,M5G,2.0,2020-10-21,3165.0
492,M5G,1.0,2020-10-22,2016.4444444444443
493,M5G,2.0,2020-10-22,2300.0
494,M5G,1.0,2020-10-23,1980.0
495,M5G,1.0,2020-10-26,2000.0
496,M5G,2.0,2020-10-26,2895.0
497,M5G,1.0,2020-10-27,1857.5
