,FSA,bedrooms,post_published_date,average_price
315,M2N,1.0,2020-10-15,1982.142857142857
316,M2N,2.0,2020-10-15,2250.0
317,M2N,1.0,2020-10-16,1700.0
318,M2N,1.0,2020-10-20,1812.5
319,M2N,2.0,2020-10-20,1250.0
320,M2N,1.0,2020-10-21,2316.6666666666665
321,M2N,2.0,2020-10-21,3050.0
322,M2N,2.0,2020-10-22,2350.0
323,M2N,1.0,2020-10-23,1975.0
324,M2N,2.0,2020-10-23,2400.0
325,M2N,1.0,2020-10-24,1000.5
326,M2N,2.0,2020-10-24,2700.0
327,M2N,1.0,2020-10-26,1808.3333333333333
328,M2N,2.0,2020-10-26,2115.0
329,M2N,1.0,2020-10-27,2033.3333333333333
330,M2N,1.0,2020-10-28,1333.6666666666667
331,M2N,2.0,2020-10-28,2240.0
332,M2N,2.0,2020-10-29,2875.0
333,M2N,1.0,2020-10-30,2000.0
334,M2N,1.0,2020-11-01,1.0
335,M2N,2.0,2020-11-01,1800.0
336,M2N,1.0,2020-11-02,2000.0
337,M2N,1.0,2020-11-03,1310.0
338,M2N,2.0,2020-11-03,2245.0
339,M2P,2.0,2020-10-04,1050.0
340,M2P,2.0,2020-10-05,2500.0
341,M2R,1.0,2020-09-19,1385.0
342,M2R,1.0,2020-09-21,1070.0
343,M2R,2.0,2020-09-28,950.0
344,M2R,2.0,2020-09-29,1500.0
345,M2R,1.0,2020-09-30,2050.0
346,M2R,2.0,2020-10-04,1500.0
347,M2R,1.0,2020-10-06,750.0
348,M2R,2.0,2020-10-08,1500.0
349,M2R,1.0,2020-10-11,750.0
350,M2R,1.0,2020-10-21,2050.0
351,M2R,1.0,2020-10-22,1050.0
352,M2R,1.0,2020-10-23,1275.0
353,M2R,1.0,2020-10-26,1050.0
354,M2R,1.0,2020-10-29,1295.0
355,M3A,1.0,2020-09-21,1462.5
356,M3A,2.0,2020-09-21,1950.0
357,M3A,2.0,2020-09-30,1895.0
358,M3A,2.0,2020-10-01,1950.0
359,M3A,1.0,2020-10-08,1625.0
360,M3A,2.0,2020-10-08,1895.0
361,M3A,1.0,2020-10-19,1595.0
362,M3A,2.0,2020-10-19,1950.0
363,M3A,2.0,2020-10-20,1941.6666666666667
364,M3A,2.0,2020-10-23,2150.0
365,M3B,1.0,2020-10-17,1390.0
366,M3B,1.0,2020-10-19,1700.0
367,M3C,1.0,2020-09-21,599.0
368,M3C,1.0,2020-09-22,599.0
369,M3C,1.0,2020-09-23,1950.0
370,M3C,1.0,2020-09-27,599.0
371,M3C,1.0,2020-09-28,599.0
372,M3C,1.0,2020-09-29,599.0
373,M3C,1.0,2020-09-30,575.0
374,M3C,2.0,2020-09-30,2195.0
375,M3C,1.0,2020-10-01,599.0
376,M3C,1.0,2020-10-02,587.0
377,M3C,1.0,2020-10-03,599.0
378,M3C,1.0,2020-10-04,599.0
379,M3C,1.0,2020-10-06,625.0
380,M3C,1.0,2020-10-07,1049.5
381,M3C,1.0,2020-10-08,625.0
382,M3C,1.0,2020-10-09,824.5
383,M3C,1.0,2020-10-11,625.0
384,M3C,1.0,2020-10-14,1950.0
385,M3C,2.0,2020-10-14,2250.0
386,M3C,1.0,2020-10-16,1085.0
387,M3C,1.0,2020-10-19,650.0
388,M3C,1.0,2020-10-20,650.0
389,M3C,1.0,2020-10-21,625.0
390,M3C,1.0,2020-10-22,1950.0
391,M3C,1.0,2020-10-23,1700.0
392,M3C,1.0,2020-10-24,599.0
393,M3C,1.0,2020-10-28,599.0
394,M3C,1.0,2020-10-29,1008.0
395,M3C,2.0,2020-10-29,2200.0
396,M3C,1.0,2020-10-31,599.0
397,M3C,1.0,2020-11-01,575.0
398,M3H,1.0,2020-09-19,1546.6666666666667
399,M3H,1.0,2020-09-20,1329.0
400,M3H,2.0,2020-09-20,2095.0
401,M3H,2.0,2020-09-23,1795.0
402,M3H,1.0,2020-09-26,1650.0
403,M3H,2.0,2020-09-27,1995.0
404,M3H,1.0,2020-10-02,1665.0
405,M3H,2.0,2020-10-02,0.0
406,M3H,1.0,2020-10-03,1250.0
407,M3H,2.0,2020-10-05,2050.0
408,M3H,1.0,2020-10-06,1800.0
409,M3H,2.0,2020-10-06,2250.0
410,M3H,1.0,2020-10-12,1600.0
411,M3H,2.0,2020-10-12,2700.0
412,M3H,1.0,2020-10-13,2000.0
413,M3H,1.0,2020-10-14,1895.0
414,M3H,1.0,2020-10-15,1895.0
415,M3H,2.0,2020-10-15,1895.0
416,M3H,1.0,2020-10-19,1730.0
417,M3H,1.0,2020-10-22,1750.0
418,M3H,1.0,2020-10-23,1622.5
419,M3H,2.0,2020-10-23,2150.0
420,M3H,1.0,2020-10-25,1500.0
421,M3H,1.0,2020-10-26,1050.0
422,M3H,1.0,2020-10-27,1745.0
423,M3H,1.0,2020-10-28,1695.0
424,M3H,1.0,2020-10-30,1825.0
425,M3H,1.0,2020-11-01,1750.0
426,M3H,2.0,2020-11-01,2495.0
427,M3H,1.0,2020-11-02,1372.5
428,M3H,2.0,2020-11-02,2345.0
429,M3J,1.0,2020-09-20,1895.0
430,M3J,2.0,2020-09-20,2070.0
431,M3J,1.0,2020-09-23,1795.0
432,M3J,1.0,2020-09-28,1850.0
433,M3J,1.0,2020-09-30,800.0
434,M3J,2.0,2020-10-06,2195.0
435,M3J,2.0,2020-10-09,2195.0
436,M3J,2.0,2020-10-14,1995.0
437,M3J,1.0,2020-10-21,1400.0
438,M3J,1.0,2020-10-28,968.0
439,M3J,1.0,2020-10-30,1237.5
440,M3J,2.0,2020-11-03,2095.0
441,M3K,1.0,2020-09-23,1900.0
442,M3K,2.0,2020-09-28,1695.0
443,M3K,1.0,2020-10-14,1900.0
444,M3K,2.0,2020-10-18,1595.0
445,M3K,1.0,2020-10-22,1566.6666666666667
446,M3L,1.0,2020-09-30,1375.0
447,M3L,1.0,2020-10-01,1392.5
448,M3L,1.0,2020-10-02,1390.0
449,M3L,2.0,2020-10-05,1600.0
450,M3M,2.0,2020-09-24,2150.0
451,M3M,2.0,2020-10-03,2400.0
452,M3M,1.0,2020-10-08,1050.0
453,M3M,1.0,2020-10-20,1400.0
454,M3N,2.0,2020-10-28,2300.0
455,M3N,2.0,2020-11-01,600.0
456,M4A,1.0,2020-09-22,0.0
457,M4A,2.0,2020-10-08,1790.0
458,M4A,2.0,2020-10-27,2200.0
459,M4A,2.0,2020-11-01,1700.0
460,M4A,2.0,2020-11-02,1700.0
461,M4B,2.0,2020-09-20,1999.0
462,M4B,1.0,2020-10-05,1690.0
463,M4B,2.0,2020-10-06,1500.0
464,M4B,2.0,2020-10-11,2000.0
465,M4B,2.0,2020-10-16,1700.0
466,M4B,1.0,2020-10-19,1685.0
467,M4B,1.0,2020-10-24,1685.0
468,M4B,1.0,2020-10-30,1685.0
469,M4B,1.0,2020-11-01,1125.0
470,M4C,2.0,2020-09-19,2011.25
471,M4C,2.0,2020-09-20,3150.0
472,M4C,2.0,2020-09-21,1872.5
473,M4C,1.0,2020-09-22,1162.5
474,M4C,2.0,2020-09-23,1917.3333333333333
475,M4C,1.0,2020-09-25,1000.0
476,M4C,1.0,2020-09-26,1600.0
477,M4C,2.0,2020-09-26,2100.0
478,M4C,1.0,2020-09-27,1600.0
479,M4C,2.0,2020-09-28,1825.0
480,M4C,1.0,2020-09-29,2200.0
481,M4C,2.0,2020-09-29,2299.0
482,M4C,2.0,2020-09-30,1650.0
483,M4C,1.0,2020-10-01,1500.0
484,M4C,2.0,2020-10-01,1900.0
485,M4C,2.0,2020-10-02,1850.0
486,M4C,1.0,2020-10-04,1900.0
487,M4C,2.0,2020-10-05,1950.0
488,M4C,1.0,2020-10-07,1800.0
489,M4C,2.0,2020-10-07,2075.0
490,M4C,1.0,2020-10-11,1450.0
491,M4C,1.0,2020-10-12,1500.0
492,M4C,1.0,2020-10-14,1750.0
493,M4C,2.0,2020-10-14,2100.0
494,M4C,2.0,2020-10-15,2250.0
495,M4C,2.0,2020-10-18,1997.5
496,M4C,2.0,2020-10-19,1795.0
497,M4C,1.0,2020-10-22,1450.0
498,M4C,2.0,2020-10-22,1795.0
