Column1.id,Column1.sqft,Column1.price
c_7191519492,614,2100
c_7191710925,576,2100
c_7192110128,616,2100
c_7192844848,645,2100
c_7193191782,600,2100
c_7193246395,533,2100
c_7193583670,540,2100
c_7193737974,720,2100
c_7194107618,650,2100
c_7194108134,650,2100
c_7194108703,550,2100
c_7194939691,720,2100
c_7195492779,600,2100
c_7195664889,580,2100
c_7195709946,650,2100
c_7196345086,607,2100
c_7196470206,755,2100
c_7196733353,700,2100
c_7197130757,600,2100
c_7197148034,600,2100
c_7197151999,600,2100
c_7197290716,565,2100
c_7197384379,550,2100
c_7197447112,477,2100
c_7197808289,1000,2100
c_7197952974,607,2100
c_7198238943,950,2100
c_7198441986,600,2100
c_7198444301,600,2100
c_7198468878,600,2100
c_7198474663,600,2100
c_7198900782,950,2100
c_7199234640,600,2100
c_7199616723,600,2100
c_7199853137,700,2100
c_7200186114,550,2100
c_7200571658,600,2100
c_7200610375,950,2100
c_7201325348,750,2100
c_7201515078,607,2100
c_7201671305,648,2100
c_7201858258,750,2100
c_7202063817,600,2100
c_7202154517,600,2100
c_7202173460,600,2100
c_7202397616,800,2100
c_7202539641,822,2100
c_7202566915,600,2100
c_7203199212,600,2100
c_7203199552,550,2100
c_7203422255,1050,2100
c_7203629441,700,2100
c_7203683354,588,2100
c_7203703194,950,2100
c_7203786110,850,2100
c_7203815000,650,2100
c_7203886712,600,2100
c_7203887659,600,2100
c_7203887676,600,2100
c_7203901380,600,2100
c_7203904412,600,2100
c_7204085969,700,2100
c_7204105302,580,2100
c_7204403042,700,2100
c_7204560510,650,2100
c_7205458566,825,2100
c_7205466810,626,2100
c_7205689197,477,2100
c_7206661629,650,2100
c_7206705320,600,2100
c_7207208749,950,2100
c_7207249358,700,2100
c_7207251278,700,2100
c_7207251418,700,2100
c_7207519452,617,2100
c_7208577460,650,2100
c_7208869323,575,2100
c_7208902201,654,2100
c_7209103339,600,2100
c_7209936607,660,2100
c_7210414559,800,2100
c_7210435260,585,2100
c_7210745697,950,2100
c_7211257768,950,2100
c_7211301107,1100,2100
c_7211624182,800,2100
c_7211653288,1000,2100
c_7212043282,700,2100
c_7212517065,950,2100
c_7212709613,950,2100
c_7212836575,800,2100
c_7212938008,750,2100
c_7213046990,1000,2100
c_7213248552,800,2100
c_7213316587,554,2100
c_7213475222,800,2100
c_7213578304,950,2100
c_7213748289,699,2100
c_7213767076,700,2100
c_7213875486,1200,2100
c_7213905370,650,2100
c_7213985036,690,2100
c_7214061023,800,2100
c_7214243926,650,2100
c_7214294490,625,2100
c_7214363037,800,2100
c_7214467293,850,2100
c_7214598104,699,2100
c_7214771121,645,2100
c_7214784228,636,2100
c_7214809997,1600,2100
c_7214832808,645,2100
c_7214964570,800,2100
c_7215256994,800,2100
c_7215613559,800,2100
c_7215764160,950,2100
c_7215792790,800,2100
c_7216067698,800,2100
c_7216266372,850,2100
c_7216330262,800,2100
c_7216613900,800,2100
c_7216897650,800,2100
c_7216998176,950,2100
c_7217183444,800,2100
c_7217466486,760,2100
c_7217714070,1300,2100
c_7217761354,800,2100
c_7217773412,1100,2100
c_7217779097,1000,2100
c_7218307571,750,2100
c_7218327894,800,2100
c_7218493801,690,2100
c_7218799149,735,2100
c_7218836371,750,2100
c_7219217030,650,2100
c_7219484749,800,2100
c_7219551379,699,2100
c_7219862125,700,2100
c_7220246938,655,2100
c_7220453463,1200,2100
c_7220485036,900,2100
c_7220537639,800,2100
c_7220586516,670,2100
c_7220681668,550,2100
c_7221098206,800,2100
c_7221268662,611,2100
c_7221300200,580,2100
c_7221501634,689,2100
c_7221520453,800,2100
c_7221708008,699,2100
c_7221881291,595,2100
c_7222141592,800,2100
c_7222218938,699,2100
c_7222594205,700,2100
c_7222711031,800,2100
c_7222833535,650,2100
c_7222836421,699,2100
c_7222837982,599,2100
c_7222995963,800,2100
c_7223255514,800,2100
c_7223321929,650,2100
c_7223343211,699,2100
c_7223474155,800,2100
c_7223583984,590,2100
c_7223724434,800,2100
c_7223757367,700,2100
c_7223819155,800,2100
c_7223861446,800,2100
c_7223880435,500,2100
c_7224172477,800,2100
c_7224298006,2100,2100
c_7224449270,800,2100
c_7224713580,800,2100
c_7224895822,699,2100
c_7225044683,800,2100
c_7225133139,700,2100
c_7225163528,650,2100
k_1516085720,675,2100
k_1516292405,580,2100
k_1516321932,550,2100
k_1516466933,600,2100
k_1517765979,613,2100
k_1517768191,637,2100
k_1517776881,600,2100
k_1517776947,600,2100
k_1517787200,620,2100
k_1517787639,650,2100
k_1517793229,600,2100
k_1517828101,1000,2100
k_1517835890,500,2100
k_1517844112,697,2100
k_1517857489,475,2100
k_1517891500,700,2100
c_7202685252,524,2105
k_1505791982,565,2115
c_7206324924,647,2125
c_7210491408,647,2125
k_1505771339,490,2125
k_1512491331,792,2129
c_7188459874,600,2130
c_7206876447,800,2136
k_1511402447,842,2139
c_7192382537,555,2145
c_7194216743,550,2145
c_7212670537,700,2145
c_7219001579,912,2145
c_7215736748,500,2149
k_1505788422,1099,2149
c_7176534184,620,2150
c_7189446810,620,2150
c_7191247674,780,2150
c_7191339016,800,2150
c_7191521064,652,2150
c_7193732568,640,2150
c_7193750634,750,2150
c_7194250446,675,2150
c_7194675020,600,2150
c_7195285346,657,2150
c_7195843452,650,2150
c_7196126190,750,2150
c_7196214972,699,2150
c_7196497131,650,2150
c_7196736190,653,2150
c_7197984808,620,2150
c_7200161282,650,2150
c_7200670486,950,2150
c_7200694905,780,2150
c_7200765184,650,2150
c_7201416760,650,2150
c_7201504941,675,2150
c_7202058849,650,2150
c_7202241722,1200,2150
c_7202518510,1100,2150
c_7202678091,650,2150
c_7203003039,600,2150
c_7203957768,650,2150
c_7205338369,500,2150
c_7205606211,650,2150
c_7206355387,650,2150
c_7206801386,650,2150
c_7207110675,1000,2150
c_7207372411,1000,2150
c_7207386352,650,2150
c_7207447766,875,2150
c_7207907263,800,2150
c_7208065899,1100,2150
c_7208263617,800,2150
c_7208608347,699,2150
c_7208955877,700,2150
c_7209010738,655,2150
c_7209119324,650,2150
c_7209590051,655,2150
c_7209682212,1500,2150
c_7211661029,835,2150
c_7211972270,700,2150
c_7211980715,800,2150
c_7212050346,700,2150
c_7212356886,1250,2150
c_7212410287,700,2150
c_7212888935,651,2150
c_7213180756,700,2150
c_7213333203,650,2150
c_7214460337,750,2150
c_7214532360,700,2150
c_7214563435,1250,2150
c_7214917523,568,2150
c_7215348790,780,2150
c_7215826261,950,2150
c_7216420028,700,2150
c_7216881782,699,2150
c_7216961664,1250,2150
c_7217067605,700,2150
c_7218221849,700,2150
c_7218457757,568,2150
c_7218803687,810,2150
c_7218991511,700,2150
c_7219346849,889,2150
c_7219965530,1500,2150
c_7220589321,747,2150
c_7220900854,700,2150
c_7221673959,630,2150
c_7221823824,700,2150
c_7222841486,799,2150
c_7222843178,699,2150
c_7223702321,700,2150
k_1512501985,534,2150
k_1516081657,700,2150
k_1516484229,701,2150
k_1517758915,700,2150
k_1517765989,500,2150
k_1517779372,504,2150
k_1517783519,600,2150
k_1517795077,600,2150
k_1517806250,650,2150
k_1517808730,620,2150
k_1517820972,750,2150
k_1517869340,599,2150
c_7217086287,840,2160
k_1508850964,645,2169
c_7196207945,1100,2170
c_7191330847,650,2175
c_7195459772,800,2175
c_7195719269,600,2175
c_7199830940,650,2175
c_7200101578,655,2175
c_7213769448,700,2175
c_7215721902,799,2175
c_7224436964,600,2175
k_1505738168,519,2175
k_1505769830,540,2175
c_7198233226,700,2180
c_7213019139,740,2180
c_7220446872,900,2180
c_7222454018,900,2180
c_7176784279,519,2185
c_7204431516,1000,2185
c_7199270093,950,2190
c_7199983054,600,2190
c_7200032405,629,2190
c_7209680871,670,2190
c_7221617168,800,2190
c_7223204000,800,2190
c_7223717945,800,2190
c_7224812568,800,2190
k_1517862655,738,2190
k_1517865549,600,2190
c_7200059226,630,2194
c_7203757366,680,2194
c_7182658578,800,2195
c_7183707248,500,2195
c_7187845493,630,2195
c_7192567791,500,2195
c_7192744548,550,2195
c_7198157216,790,2195
c_7198566658,623,2195
c_7201566449,912,2195
c_7205197523,850,2195
c_7205560352,1200,2195
c_7206849469,1900,2195
c_7208606735,630,2195
c_7208690553,1900,2195
c_7209012657,872,2195
c_7209155210,1100,2195
c_7210876596,1100,2195
c_7213368503,500,2195
c_7213412724,1900,2195
c_7214326498,1200,2195
c_7216885610,790,2195
c_7217308055,623,2195
c_7217918023,700,2195
c_7217953031,700,2195
c_7220503045,1000,2195
c_7220607218,670,2195
c_7220618077,1900,2195
c_7221042313,800,2195
c_7222384152,650,2195
c_7224183546,750,2195
k_1505793067,590,2195
c_7208299435,785,2199
k_1508850792,952,2199
k_1517795398,754,2199
c_7175105221,650,2200
c_7181501484,1100,2200
c_7185162844,900,2200
c_7187768944,999,2200
c_7188464324,630,2200
c_7191041233,650,2200
c_7191522522,739,2200
c_7191759846,1400,2200
c_7192494251,750,2200
c_7192708008,800,2200
c_7192966700,795,2200
c_7193146438,1100,2200
c_7193539343,580,2200
c_7194353502,600,2200
c_7194671278,621,2200
c_7194700290,600,2200
c_7194936095,700,2200
c_7195266510,562,2200
c_7195404140,649,2200
c_7195421953,750,2200
c_7196403409,1200,2200
c_7196729162,680,2200
c_7196730333,740,2200
c_7197016960,1399,2200
c_7197183378,750,2200
c_7197440095,603,2200
c_7197442487,540,2200
